rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
91,dishapatani,74,2100.0,0.2542479546884834,0.34661156651536706,0.018500000000000003,971700.0,0.41057861875753127,United States
92,sergioramos,87,2200.0,0.2517306482064191,0.233701420409638,0.0106,557900.0,0.3013079096816883,Unknown
93,jbalvin,87,10000.0,0.2517306482064191,0.1835693155386943,0.0066,340500.0,0.9999999999999999,Unknown
94,mosalah,22,840.0,0.24795468848332292,0.3917756249576587,0.0218,1100000.0,0.17989601070852948,Unknown
95,ayutingting92,85,10000.0,0.24669603524229078,0.018562428019781856,0.0011,56300.0,0.17989601070852948,Indonesia
96,433,79,10300.0,0.23159219634990558,0.18022717521396472,0.0152,774200.0,0.9999999999999999,Netherlands
97,hudabeauty,82,2400.0,0.22655758338577725,0.02739200144524987,0.0004,16800.0,0.05285059962301605,United States
98,adele,84,420.0,0.2252989301447451,1.0,0.0382,1900000.0,0.24060196019510893,United States
99,michelleobama,85,600.0,0.2252989301447451,0.1434862136711605,0.012199999999999999,611200.0,0.048977560045772285,Unknown
100,kritisanon,76,2700.0,0.21900566393958465,0.1879050651491543,0.0121,604400.0,0.2891667197843724,India
101,jamesrodriguez10,86,1100.0,0.21522970421648835,0.30144750807307547,0.0075,363900.0,0.17989601070852948,Colombia
102,krisjenner,80,6400.0,0.21271239773442419,0.06587177923808234,0.0091,452900.0,0.27702552988705653,United States
103,thv,83,60.0,0.20767778477029586,1.0,0.258,3018875.0,0.11766027129488825,Unknown
104,lelepons,81,2500.0,0.20641913152926372,0.5272678002845336,0.0355,1700000.0,0.7383907459850603,United States
105,charlidamelio,80,150.0,0.20516047828823158,0.9337443262651581,0.032799999999999996,1600000.0,0.07723010893682634,Unknown
106,gucci,86,8900.0,0.20390182504719956,0.011291014610572908,0.0015,72400.0,0.11919006122195006,Italy
107,prillylatuconsina96,84,6500.0,0.20264317180616742,0.06939457579658108,0.0027,131800.0,0.2891667197843724,Indonesia
108,louisvuitton,82,6500.0,0.20012586532410326,0.014091186233994987,0.0008,40500.0,0.0978215670026741,France
109,paulodybala,85,1300.0,0.19509125235997482,0.3917756249576587,0.0288,1400000.0,0.27702552988705653,Unknown
110,blackpinkofficial,85,1400.0,0.1938325991189428,0.45952171262109615,0.0277,1300000.0,0.3620138591682677,Unknown
111,dovecameron,85,170.0,0.1938325991189428,0.34661156651536706,0.0175,841400.0,0.03213772965819515,United States
112,garethbale11,86,980.0,0.19257394587791066,0.15759998193437663,0.0143,681300.0,0.08921346336547713,Unknown
113,jokowi,85,3500.0,0.18753933291378233,0.08750536323194003,0.0040999999999999995,189600.0,0.19203720060584537,Unknown
114,nusr_et,81,2300.0,0.1825047199496539,0.14974143576541787,0.0029,133000.0,0.20417839050316125,United Arab Emirates
115,harrystyles,57,590.0,0.17747010698552557,1.0,0.0638,2900000.0,0.33773147937363596,United States
116,haileybieber,85,2100.0,0.17747010698552557,0.4369396833999503,0.0347,1600000.0,0.5077081379360584,Unknown
117,vanessahudgens,84,4200.0,0.17621145374449343,0.12844658220987737,0.0063,292900.0,0.32559028947632007,United States
118,5-Minute Crafts GIRLY,85,10000.0,0.17243549402139713,0.020752884854233003,0.0003,12400.0,0.19203720060584537,United States
119,zayn,82,160.0,0.17243549402139713,1.0,0.08810000000000001,3018875.0,0.09169026610452957,United States
120,larissamanoela,85,5200.0,0.17243549402139713,0.11618454034279521,0.005699999999999999,259399.99999999997,0.3620138591682677,Brazil
121,travisscott,78,3200.0,0.16865953429830083,0.6627599756114084,0.0571,2600000.0,0.9999999999999999,United States
122,thenotoriousmma,82,3200.0,0.16488357457520453,0.233701420409638,0.0069,311500.0,0.42271980865484715,United States
123,daddyyankee,80,20.0,0.16488357457520453,0.1326468396450105,0.01,455300.0,0.0,Puerto Rico
124,natgeotravel,82,11141.25,0.1636249213341725,0.02818237246798997,0.0012,52800.0,0.3862962389628995,United States
125,nikefootball,85,1800.0,0.15859030837004406,0.08267280897861481,0.0044,199800.0,0.09296509104374774,United States
126,stephencurry30,84,1100.0,0.15859030837004406,0.233701420409638,0.0276,1200000.0,0.14347244101658183,Unknown
